tconst	ordering	nconst	category	job	characters	img_url_asset
tt000929	1	nm0066941	actor	\N	\N	\N
tt000929	2	nm0170183	actor	\N	\N	\N
tt000929	3	nm0092290	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
tt000929	4	nm0093361	director	\N	\N	\N
tt000929	5	nm1902148	producer	producer	\N	\N
tt000929	6	nm0667386	cinematographer	\N	\N	\N
tt000977	1	nm0092290	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
tt000977	2	nm1902148	producer	producer	\N	\N
tt000977	3	nm0667386	cinematographer	\N	\N	\N
tt015414	1	nm0147437	self	\N	"[""Self""]"	\N
tt015414	2	nm0615736	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/kHiLG0lyy5WqqxsLgYPAi61R37p.jpg
tt015724	10	nm1457911	editor	\N	\N	\N
tt015724	1	nm0844752	actor	\N	"[""Bruno""]"	https://image.tmdb.org/t/p/{width_variable}/m9KfJxxrOdIBqPDOhSvw6GPA1Uy.jpg
tt015724	2	nm0869732	actress	\N	"[""Sofía""]"	https://image.tmdb.org/t/p/{width_variable}/2dZRblt3alR4ihcBNasYDI1gwc0.jpg
tt015724	3	nm0194720	actor	\N	"[""Rolando Matute""]"	https://image.tmdb.org/t/p/{width_variable}/bs5zAkh01XU6hY4bYucgDXYisIg.jpg
tt015724	4	nm0650495	actress	\N	"[""Salomé""]"	https://image.tmdb.org/t/p/{width_variable}/fyTgy9TKCxJetrNVGBIQ5gCIDsV.jpg
tt015724	5	nm0529960	director	\N	\N	\N
tt015724	6	nm1597742	writer	novel	\N	\N
tt015724	7	nm0600039	producer	producer	\N	\N
tt015724	8	nm0255550	composer	\N	\N	\N
tt015724	9	nm0006509	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/5h2U70z7OS5Rb2PdrPpjo35eWCl.jpg
tt034841	1	nm0572235	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/rD180RxxIcxdCZbI2X5sfSb4lT.jpg
tt038086	10	nm0279072	actor	\N	"[""Kriminalassistent Egge""]"	https://image.tmdb.org/t/p/{width_variable}/tWA1aLPdB5UpovFAyv9lnxpuvid.jpg
tt038086	1	nm0002161	actor	\N	"[""Kriminalrat Dietrich Dongen""]"	https://image.tmdb.org/t/p/{width_variable}/x1s3RdddpAfjNXVhYJqjAskklUV.jpg
tt038086	2	nm0081499	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/lK3MxrK9LUHxPGvXwcejatLmRPb.jpg
tt038086	3	nm0220471	actor	\N	\N	\N
tt038086	4	nm0243017	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/49Rl5z4OHIK8SF639np4agXzsrA.jpg
tt038086	5	nm0826094	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/xvP4DLKf3DE4on6tA63iNdeRt47.jpg
tt038086	6	nm0076617	writer	novel	\N	\N
tt038086	7	nm0006057	composer	\N	\N	\N
tt038086	8	nm0389155	cinematographer	\N	\N	\N
tt038086	9	nm0257262	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/9MNdbTpIx8GErdLCzY0QlVnf6IX.jpg
tt040844	1	nm0000248	actor	\N	"[""Cowboy""]"	https://image.tmdb.org/t/p/{width_variable}/mT2dlFO5i2gKpRJzB9gwuRAq21t.jpg
tt040844	2	nm0601146	actor	\N	"[""Lem""]"	https://image.tmdb.org/t/p/{width_variable}/k35EeiZPgGzhrHeVH1rWtuhycLZ.jpg
tt040844	3	nm0619265	actor	\N	"[""Tex""]"	\N
tt040844	4	nm0564502	actress	\N	"[""Barbara""]"	https://image.tmdb.org/t/p/{width_variable}/wlNCRQ8odruOPyY2WKG80znHlKr.jpg
tt040844	5	nm0298215	writer	narration	\N	https://image.tmdb.org/t/p/{width_variable}/878i8VLSExhVXc6SPRq1c7edMs4.jpg
tt040844	6	nm0858659	producer	producer	\N	\N
tt040844	7	nm0918840	composer	\N	\N	\N
tt040844	8	nm0282325	cinematographer	\N	\N	\N
tt059325	10	nm0505026	production_designer	\N	\N	\N
tt059325	1	nm0383850	actress	\N	"[""Lisa, genannt Li""]"	\N
tt059325	2	nm0753957	actor	\N	"[""Alfred, genannt Al""]"	https://image.tmdb.org/t/p/{width_variable}/21Cu0cELjVtkDIBRqeaw6vxAiYq.jpg
tt059325	3	nm2535970	actor	\N	"[""Mogul""]"	\N
tt059325	4	nm0537007	actor	\N	"[""Hans""]"	https://image.tmdb.org/t/p/{width_variable}/24ckcgfrWrVVdk1Ex32vuysdAmv.jpg
tt059325	5	nm0127158	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/zzgq3s7shKd6zIabGIIG3s7afxq.jpg
tt059325	6	nm0687851	writer	\N	\N	\N
tt059325	7	nm0081598	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/fiWaAtuXlpBwahEWchhH0orQrBB.jpg
tt059325	8	nm0344875	cinematographer	\N	\N	\N
tt059325	9	nm0313205	editor	\N	\N	\N
tt059900	10	nm0386629	production_designer	\N	\N	\N
tt059900	1	nm1052658	actor	\N	"[""Adam""]"	\N
tt059900	2	nm0937760	actor	\N	"[""Tember""]"	https://image.tmdb.org/t/p/{width_variable}/h2hAJ0RLJ4Xx08EaTsCuUrDwQvj.jpg
tt059900	3	nm0472545	actor	\N	"[""Konstantin""]"	https://image.tmdb.org/t/p/{width_variable}/4qfxHPHzQhmNHXtVB6AuXIXZISf.jpg
tt059900	4	nm0334635	actress	\N	"[""Caroline""]"	https://image.tmdb.org/t/p/{width_variable}/yUFoiSKJHVdcuWqVcjuiXz6AjvF.jpg
tt059900	5	nm0351586	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/qol1P8EmjMQIXHrTbIeDRm3rRc7.jpg
tt059900	6	nm0778360	writer	\N	\N	\N
tt059900	7	nm0624150	composer	\N	\N	\N
tt059900	8	nm0340497	cinematographer	\N	\N	\N
tt059900	9	nm0771858	editor	\N	\N	\N
tt065188	10	nm0098390	production_designer	\N	\N	\N
tt065188	1	nm0286367	actor	\N	"[""Vojta""]"	https://image.tmdb.org/t/p/{width_variable}/sLcHD4HNl6bDqo2zvR4xS3UnPzX.jpg
tt065188	2	nm0525656	actress	\N	"[""Anezka""]"	https://image.tmdb.org/t/p/{width_variable}/bjwSxzsB2VQe09t09otThYqHBOH.jpg
tt065188	3	nm0230866	actress	\N	"[""Blazena""]"	\N
tt065188	4	nm0953822	actor	\N	"[""Lojza""]"	https://image.tmdb.org/t/p/{width_variable}/4eXMDdzHhbipOdalzO7CGn5RNa9.jpg
tt065188	5	nm0878702	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/rshRHHG5voW4KrojReCIF8Y17Ed.jpg
tt065188	6	nm0434141	writer	screenplay	\N	\N
tt065188	7	nm0815785	writer	screenplay	\N	\N
tt065188	8	nm1413539	composer	\N	\N	\N
tt065188	9	nm0532709	editor	\N	\N	\N
tt067460	1	nm0091430	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/6TiG3ItMvehkprMTdIDvWZD7jZv.jpg
tt067460	2	nm0155034	self	\N	"[""Self""]"	\N
tt067460	3	nm0821041	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/f1MchlCMVc4LDWEALsodZHPkbIu.jpg
tt067460	4	nm0821043	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/aHGIAA6jwGxZXFGtd5N2gVjXNcO.jpg
tt067460	5	nm0254945	producer	producer	\N	\N
tt067460	6	nm0475101	producer	producer	\N	\N
tt067460	7	nm0006165	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/f9HjW8Y0cI3lVZ2779wOvxUuWaU.jpg
tt067460	8	nm0005644	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/iZonD2w5n4DVDzpWH5AzfKgHOb2.jpg
tt067460	9	nm0949422	editor	\N	\N	\N
tt068494	1	nm0496571	actor	\N	"[""Doug""]"	\N
tt068494	2	nm0792032	actress	\N	"[""Tara""]"	\N
tt068494	3	nm2866691	actor	\N	\N	\N
tt068494	4	nm2865979	actor	\N	\N	\N
tt068494	5	nm0643443	director	\N	\N	\N
tt068494	6	nm2784719	composer	\N	\N	\N
tt068494	7	nm0676286	cinematographer	\N	\N	\N
tt068494	8	nm2867782	editor	\N	\N	\N
tt070501	1	nm0487508	actress	\N	"[""María""]"	\N
tt070501	2	nm3012589	actor	\N	"[""Juan Carlos""]"	\N
tt070501	3	nm5672626	actress	\N	"[""Mirta""]"	\N
tt070501	4	nm0033058	actor	\N	"[""Lodger""]"	https://image.tmdb.org/t/p/{width_variable}/8qUN7ce0f8MQr93hZeX7WaaBAgb.jpg
tt070501	5	nm0749914	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/gsJkcICbmk1GCi3EkDkxE6qZcpe.jpg
tt070501	6	nm0481040	writer	novel	\N	\N
tt070501	7	nm1097480	composer	\N	\N	\N
tt070501	8	nm0129028	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/19DO1o10TVKhqkGHUvt65FvLj0X.jpg
tt070501	9	nm0681196	editor	\N	\N	\N
tt073481	1	nm0000518	actor	\N	"[""Deeley""]"	https://image.tmdb.org/t/p/{width_variable}/5coH0AExljEnbseCXKL4CDOVQj8.jpg
tt073481	2	nm0625075	actress	\N	"[""Kate""]"	https://image.tmdb.org/t/p/{width_variable}/a2BUOy9A9WlvTfe8s4gn0MZfPa5.jpg
tt073481	3	nm0001669	actress	\N	"[""Anna""]"	https://image.tmdb.org/t/p/{width_variable}/2IEW3fxqHb4AHBl5xU8JuipJbNK.jpg
tt073481	4	nm0193508	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/7gQqZO7uoHNrHX6IZfCLCtXBDkU.jpg
tt073481	5	nm0056217	writer	play	\N	https://image.tmdb.org/t/p/{width_variable}/w0ItHr1DFWT01i07354nFZ3cX04.jpg
tt073481	6	nm0760255	composer	\N	\N	\N
tt073481	7	nm0693975	editor	\N	\N	\N
tt073481	8	nm0331540	production_designer	\N	\N	\N
tt077432	10	nm1164655	actor	\N	\N	\N
tt077432	1	nm0504973	actor	\N	\N	\N
tt077432	2	nm0160823	actress	\N	\N	https://image.tmdb.org/t/p/{width_variable}/aYXVaGG4vqtBVibF53s8yxLUNH5.jpg
tt077432	3	nm0594226	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/cCmCh5D3bRA1dZ7xKGH5pBjkyQf.jpg
tt077432	4	nm3997864	actor	\N	\N	\N
tt077432	5	nm0839288	director	\N	\N	\N
tt077432	6	nm1150921	writer	screenplay	\N	\N
tt077432	7	nm3992583	producer	producer	\N	\N
tt077432	8	nm0530903	actor	\N	\N	\N
tt077432	9	nm0465062	actor	\N	\N	\N
tt078006	10	nm0000035	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg
tt078006	1	nm0370209	actor	\N	"[""Norman""]"	\N
tt078006	2	nm0244139	actor	\N	"[""Cameron""]"	\N
tt078006	3	nm0730372	actress	\N	"[""Ellen""]"	\N
tt078006	4	nm0625196	actor	\N	"[""Young Norman""]"	\N
tt078006	5	nm0333937	director	\N	\N	\N
tt078006	6	nm0643093	writer	based on the story by	\N	https://image.tmdb.org/t/p/{width_variable}/uVmHWxfJbioT2jwSoP55erApGDC.jpg
tt078006	7	nm0682421	writer	screenplay	\N	\N
tt078006	8	nm0455130	producer	producer	\N	\N
tt078006	9	nm0703605	producer	producer	\N	\N
tt080039	1	nm0001657	actor	\N	"[""Captain Daniel Nelson""]"	https://image.tmdb.org/t/p/{width_variable}/dWfotc1X71wNCGyPO9hXpv8U9Gw.jpg
tt080039	2	nm0153223	actress	\N	"[""General Natasha Alexandrovitch""]"	https://image.tmdb.org/t/p/{width_variable}/t5Y5aLytxdas5EMVTqf93pyYw7j.jpg
tt080039	3	nm0001088	actor	\N	"[""Commissioner Potts""]"	https://image.tmdb.org/t/p/{width_variable}/if5g03wn6uvHx7F6FxXHLebKc0q.jpg
tt080039	4	nm0943978	actor	\N	"[""General Spelvin""]"	https://image.tmdb.org/t/p/{width_variable}/n5iLeYpe19ah5zYzooksiArIQZk.jpg
tt080039	5	nm0192870	director	\N	\N	\N
tt080039	6	nm0288708	writer	original screenplay	\N	\N
tt080039	7	nm0192824	producer	producer	\N	\N
tt080039	8	nm0556671	cinematographer	\N	\N	\N
tt081008	1	nm0389846	director	\N	\N	\N
tt081145	10	nm0005777	cinematographer	\N	\N	\N
tt081145	1	nm0000732	actor	\N	"[""Harry""]"	https://image.tmdb.org/t/p/{width_variable}/e7Q6hgWilShqGZ572ByWF9eshMm.jpg
tt081145	2	nm0958406	actor	\N	"[""Gary""]"	\N
tt081145	3	nm0001592	actor	\N	"[""Roy""]"	https://image.tmdb.org/t/p/{width_variable}/cXMOad9KKVBK1lg8EjEbcNPn1OT.jpg
tt081145	4	nm0001550	actress	\N	"[""Rose""]"	https://image.tmdb.org/t/p/{width_variable}/g5pXUDGH30egsCq9eTDrsikFAYk.jpg
tt081145	5	nm0193303	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/sZhCvP3WCdaRHcuW1xj1bxsVNjn.jpg
tt081145	6	nm0169785	writer	"novel ""Taking Gary Feldman"""	\N	\N
tt081145	7	nm0849601	writer	screenplay	\N	\N
tt081145	8	nm0521011	producer	producer	\N	https://image.tmdb.org/t/p/{width_variable}/3qFgMGUcFcuPsFCnsa6saDqMj60.jpg
tt081145	9	nm0006013	composer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/pctpQ4sJhRSblesc1MtduaINl8S.jpg
tt081436	1	nm0525938	director	\N	\N	\N
tt081721	10	nm0303592	production_designer	\N	\N	\N
tt081721	1	nm0001409	actor	\N	"[""Vincent Van Gogh""]"	https://image.tmdb.org/t/p/{width_variable}/jrtGiLYaALwDZgF39Hlgb8O1XZ1.jpg
tt081721	2	nm0678113	actress	\N	"[""Josephine Tetley 'Jo'""]"	\N
tt081721	3	nm0286612	actor	\N	"[""Felix Murphy""]"	\N
tt081721	4	nm0459325	actor	\N	"[""Joris""]"	\N
tt081721	5	nm0747808	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/vwYNRHAAcdKObqLhMrmGYZ9L9x1.jpg
tt081721	6	nm0218362	producer	producer	\N	https://image.tmdb.org/t/p/{width_variable}/e5eH3GU1ZT3V8CYfwFVaMDe6Jwl.jpg
tt081721	7	nm0396386	composer	\N	\N	\N
tt081721	8	nm0693730	cinematographer	\N	\N	\N
tt081721	9	nm0181024	editor	\N	\N	\N
tt082473	1	nm0164950	actor	\N	"[""Narrator""]"	https://image.tmdb.org/t/p/{width_variable}/lfCpXBpkHKOdtkXFBTwIvHh6xCx.jpg
tt082473	2	nm0044011	actress	\N	"[""Narrator""]"	https://image.tmdb.org/t/p/{width_variable}/3TBLZwWSm8uInoZzd46OaV8glzH.jpg
tt082473	3	nm0347858	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/d5xb4nF5C1ucsp8JgbyplVey849.jpg
tt082473	4	nm0143426	director	\N	\N	\N
tt082473	5	nm0724255	writer	written by	\N	\N
tt082473	6	nm0637280	producer	producer	\N	\N
tt082473	7	nm0938101	cinematographer	\N	\N	\N
tt082473	8	nm0403174	editor	\N	\N	\N
tt082891	1	nm1362494	actor	\N	"[""Man""]"	\N
tt082891	2	nm1276357	actress	\N	"[""Female""]"	\N
tt082891	3	nm2236469	actor	\N	"[""Guard""]"	\N
tt082891	4	nm2236018	actor	\N	"[""Next Man""]"	\N
tt082891	5	nm0000382	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/tcC1xvYTnoVPwzVVpPkHJ2oPLb4.jpg
tt083837	1	nm0523800	writer	\N	\N	\N
tt084015	10	nm0238011	cinematographer	\N	\N	\N
tt084015	1	nm0601374	actor	\N	"[""Joe Martin""]"	\N
tt084015	2	nm0393702	actress	\N	"[""Billie Keale""]"	https://image.tmdb.org/t/p/{width_variable}/8PFcJexeSx5x0zUPDv2zje2x8SD.jpg
tt084015	3	nm0393222	actor	\N	"[""Cook""]"	https://image.tmdb.org/t/p/{width_variable}/v3lfw5aHOy0paOCx6WHiSnwzbH0.jpg
tt084015	4	nm0863154	actress	\N	"[""Big Sharon""]"	\N
tt084015	5	nm0160246	director	\N	\N	\N
tt084015	6	nm0767391	director	\N	\N	\N
tt084015	7	nm2384991	writer	\N	\N	\N
tt084015	8	nm2392328	composer	\N	\N	\N
tt084015	9	nm2169439	composer	\N	\N	\N
tt084447	1	nm0292058	actor	\N	"[""Frank""]"	\N
tt084447	2	nm7896911	actor	\N	"[""Michael""]"	\N
tt084447	3	nm0146945	actress	\N	"[""Maureen""]"	\N
tt084447	4	nm0203219	actress	\N	"[""Mrs. Odahrian""]"	\N
tt084447	5	nm0000382	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/tcC1xvYTnoVPwzVVpPkHJ2oPLb4.jpg
tt084447	6	nm0737962	composer	\N	\N	\N
tt084447	7	nm0582650	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/cJeAJKcMdVOhAz8Pk5QZITIuw6P.jpg
tt084447	8	nm2235804	actor	\N	"[""Mr. Odahrian""]"	\N
tt084447	9	nm1558060	actor	\N	"[""Man on Street""]"	\N
tt084551	10	nm2649060	cinematographer	\N	\N	\N
tt084551	1	nm0156522	actress	\N	"[""Shen""]"	https://image.tmdb.org/t/p/{width_variable}/mHu0edLezIp5gPYzPX7w4d2Iw15.jpg
tt084551	2	nm0943138	actor	\N	"[""Monk Fa Da""]"	https://image.tmdb.org/t/p/{width_variable}/zfvulEXVw72RAf4OkOdkykDnqUH.jpg
tt084551	3	nm0155599	actor	\N	"[""Feng Yun-Tin""]"	https://image.tmdb.org/t/p/{width_variable}/sMLzRjTYJYeTjTE09XjVHHB8Ddx.jpg
tt084551	4	nm0490614	actor	\N	"[""Head of Da Hung Religion""]"	https://image.tmdb.org/t/p/{width_variable}/w949uXNdjsbuXcSG7JKDIHApYf8.jpg
tt084551	5	nm0152049	director	\N	\N	\N
tt084551	6	nm4184369	writer	screenplay	\N	\N
tt084551	7	nm4894011	writer	screenplay	\N	\N
tt084551	8	nm1852162	writer	screenplay	\N	\N
tt084551	9	nm0482697	composer	\N	\N	\N
tt084638	10	nm0630113	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/kHYaqebo9gHgoetPEtQbqyi4Xp7.jpg
tt084638	1	nm0912238	archive_footage	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/4FwsJKGOpYcYwFqxFKnbl5bFx3Y.jpg
tt084638	2	nm0129816	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/wUidKhZJlXeYg1OMtrLvSrZFOoD.jpg
tt084638	3	nm0320091	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/w7qQvokS1lp7IRgefiJdALaaiIi.jpg
tt084638	4	nm0001396	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/lnW255mXyX6K8agSNwhj8H06CoC.jpg
tt084638	5	nm0577263	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/8Vg9wa4dzsYRB2DsaJp9Db7lvuT.jpg
tt084638	6	nm0447882	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/wU7wjyUYGP2rCFDde4yTCdDSM58.jpg
tt084638	7	nm0006168	archive_footage	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/eoaFA3ekdmEhAtSZ3wb9gEm2TYh.jpg
tt084638	8	nm0538922	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/h5wHiT55EJHC9VvlnCVZi2wNW76.jpg
tt084638	9	nm0607316	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/n9pEZAQZnw0RKvAwIz1WWGuHDI1.jpg
tt084870	1	nm0210701	self	\N	"[""Self""]"	https://image.tmdb.org/t/p/{width_variable}/lkEY4Amtuyk8hPmNz01EqWYH3Xk.jpg
tt084870	2	nm2578362	self	\N	"[""Self""]"	\N
tt084870	3	nm0246822	actor	\N	\N	https://image.tmdb.org/t/p/{width_variable}/2p8tFBuKgoCXohTz0vqRLrV3bYe.jpg
tt084870	4	nm0535166	actress	\N	"[""Narrator""]"	https://image.tmdb.org/t/p/{width_variable}/7RUJ55Jmfv1KN9GKLQ6ccOjVosb.jpg
tt084870	5	nm0078760	writer	dialogue	\N	https://image.tmdb.org/t/p/{width_variable}/3TTDc5tPEBalKF4Q9BRcvJFUTPq.jpg
tt084870	6	nm0740650	cinematographer	\N	\N	https://image.tmdb.org/t/p/{width_variable}/ayxanSSP019MUd7PtDW5sh5QeyZ.jpg
tt084870	7	nm0347263	editor	\N	\N	\N
tt087306	1	nm0653458	director	\N	\N	https://image.tmdb.org/t/p/{width_variable}/p3qqjBuh1mzC1dgNoyPxS4bH3j.jpg
tt088267	10	nm0438071	actor	\N	"[""Film Director""]"	https://image.tmdb.org/t/p/{width_variable}/iFLyXbaiFHSerJyizQa2ZwMPMQ8.jpg
tt088267	1	nm0482580	actor	\N	"[""The Master""]"	https://image.tmdb.org/t/p/{width_variable}/3G7ftUMJeFHaxxcCZ9gBRtd84Tg.jpg
tt088267	2	nm0939153	actress	\N	"[""Gigi Wong"",""Evil Woman""]"	https://image.tmdb.org/t/p/{width_variable}/czi7jy9VnrEmrJTE9oVUJRgDsY.jpg
tt088267	3	nm0793008	actor	\N	"[""Ma Sheung Fung""]"	\N
tt088267	4	nm0939065	actor	\N	"[""Tortoise""]"	https://image.tmdb.org/t/p/{width_variable}/e3om7myl5ZKXt1KaRbSYvAd0N35.jpg
tt088267	5	nm0948151	director	\N	\N	\N
tt088267	6	nm1292716	writer	\N	\N	\N
tt088267	7	nm2448825	producer	producer	\N	\N
tt088267	8	nm0155713	editor	\N	\N	\N
tt088267	9	nm0938893	actor	\N	"[""Ben""]"	https://image.tmdb.org/t/p/{width_variable}/7UYRnOZXSmJFcQGPBUSFbyY07zZ.jpg
tt088283	10	nm0812320	cinematographer	\N	\N	\N
tt088283	1	nm0296260	actor	\N	"[""Hübner""]"	https://image.tmdb.org/t/p/{width_variable}/wirVDirOcVdqXshONKd61cTLlYc.jpg
tt088283	2	nm0726258	actor	\N	"[""Zimmermann""]"	https://image.tmdb.org/t/p/{width_variable}/AnAeRZj5K1iEBQRRsMkrrD2xSCU.jpg
tt088283	3	nm0459031	actor	\N	"[""Rödel""]"	https://image.tmdb.org/t/p/{width_variable}/38ZYGnzRELpAej6OpAyOdKMkK9T.jpg
tt088283	4	nm0089760	actress	\N	"[""Sonja Wilke""]"	https://image.tmdb.org/t/p/{width_variable}/9Y8dkF3wVPmif1Mu7e9uYVEKmLs.jpg
tt088283	5	nm0353436	director	\N	\N	\N
tt088283	6	nm0030676	writer	written by	\N	\N
tt088283	7	nm0331498	writer	story editor	\N	\N
tt088283	8	nm0123981	producer	producer	\N	\N
tt088283	9	nm0042259	composer	\N	\N	\N
tt088656	10	nm0463595	producer	producer	\N	\N
tt088656	1	nm0866697	actress	\N	"[""Iris""]"	https://image.tmdb.org/t/p/{width_variable}/hjuS06UcHyHc57TJe68zdeK13QL.jpg
tt088656	2	nm0492496	actress	\N	"[""Iris (1994)""]"	\N
tt088656	3	nm0960690	actress	\N	"[""Iris""]"	https://image.tmdb.org/t/p/{width_variable}/you6TqTkkTxOnO2iXj34Qd8QKR1.jpg
tt088656	4	nm0299192	actor	\N	"[""Leon""]"	https://image.tmdb.org/t/p/{width_variable}/zZjO0NxIbEhYW3507gXVnvWeRkG.jpg
tt088656	5	nm0407479	director	\N	\N	\N
